community_url,label_old,member_count,Id,type,label_2,label_legacy,label_edited_count,longitude,latitude,cluster_id,cluster_size,label
healmyptsd,Heal My PTSD,12792.0,healmyptsd_co-occurrence,community,Heal My PTSD (12792),Heal My PTSD,Heal My PTSD (12792),-30,19.0,,,PTSD
painconcern,Pain Concern,12190.0,painconcern_co-occurrence,community,Pain Concern (12190),Pain Concern,Pain Concern (12190),-30,18.0,,,Pain Concern
diabetesindia,Diabetes India,12107.0,diabetesindia_co-occurrence,community,Diabetes India (12107),Diabetes India,Diabetes India (12107),-30,17.0,,,Diabetes
hughes-syndrome,Hughes Syndrome APS Forum,10649.0,hughes-syndrome_co-occurrence,community,Hughes Syndrome APS Forum (10649),Hughes Syndrome APS,Hughes Syndrome APS (10649),-30,16.0,,,Hughes syndr. APS
menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,menshealth-penishealth_co-occurrence,community,Men's Health Forum (Penis Health) (9139),Men's Health (Penis Health),Men's Health (Penis Health) (9139),-30,15.0,,,Men's (penis) health
pbc-foundation,PBC Foundation,8523.0,pbc-foundation_co-occurrence,community,PBC Foundation (8523),Primary Biliary Cholangitis (PBS) (Autoimmune),Primary Biliary Cholangitis (PBS) (Autoimmune) (8523),-30,14.0,,,Primary biliary cholangitis
adhd-parents,CHADD's ADHD Parents Together,6541.0,adhd-parents_co-occurrence,community,CHADD's ADHD Parents Together (6541),CHADD's ADHD Parents Together,CHADD's ADHD Parents Together (6541),-30,13.0,,,ADHD Parents
adult-adhd,CHADD's Adult ADHD Support,6368.0,adult-adhd_co-occurrence,community,CHADD's Adult ADHD Support (6368),CHADD's Adult ADHD,CHADD's Adult ADHD (6368),-30,12.0,,,Adult ADHD
tinnitus-uk,Tinnitus UK,5616.0,tinnitus-uk_co-occurrence,community,Tinnitus UK (5616),Tinnitus UK,Tinnitus UK (5616),-30,11.0,,,Tinnitus
nkf-ckd,Kidney Disease,5304.0,nkf-ckd_co-occurrence,community,Kidney Disease (5304),Kidney Disease,Kidney Disease (5304),-30,10.0,,,Kidney disease
ataxia-uk,Ataxia UK,4708.0,ataxia-uk_co-occurrence,community,Ataxia UK (4708),Ataxia UK,Ataxia UK (4708),-30,9.0,,,Ataxia
menshealth,Men's Health Forum,4668.0,menshealth_co-occurrence,community,Men's Health Forum (4668),Men's Health,Men's Health (4668),-30,8.0,,,Men's health 
glutenfreeguerrillas,Gluten Free Guerrillas,4439.0,glutenfreeguerrillas_co-occurrence,community,Gluten Free Guerrillas (4439),Gluten Free Guerrillas,Gluten Free Guerrillas (4439),-30,7.0,,,Gluten sensitivities
behcetsuk,Behçet's UK,4412.0,behcetsuk_co-occurrence,community,Behçet's UK (4412),Behçet's UK (Autoimmune),Behçet's UK (Autoimmune) (4412),-30,6.0,,,Behcet's disease
womenshealth,Women's Health,4181.0,womenshealth_co-occurrence,community,Women's Health (4181),Women's Health,Women's Health (4181),-30,5.0,,,Women's health
lungcancer,The Roy Castle Lung Cancer Foundation,3592.0,lungcancer_co-occurrence,community,The Roy Castle Lung Cancer Foundation (3592),Lung Cancer,Lung Cancer (3592),-30,4.0,,,Lung & asthma
livingwithanxiety,Living with Anxiety,3328.0,livingwithanxiety_co-occurrence,community,Living with Anxiety (3328),Living with Anxiety,Living with Anxiety (3328),-30,3.0,,,Anxiety
bonehealth,Bone Health and Osteoporosis UK,3034.0,bonehealth_co-occurrence,community,Bone Health and Osteoporosis UK (3034),Bone Health & Osteoporosis UK,Bone Health & Osteoporosis UK (3034),-30,2.0,,,Bone health & osteoporosis
eric,ERIC,3021.0,eric_co-occurrence,community,ERIC (3021),ERIC (Bowel & Bladder),ERIC (Bowel & Bladder) (3021),-30,1.0,,,Bowl & bladder conditions
early-ckd-support,Early CKD Support,2783.0,early-ckd-support_co-occurrence,community,Early CKD Support (2783),Early Chronic Kidney Disease (CKD),Early Chronic Kidney Disease (CKD) (2783),-30,0.0,,,Early kidney disease
app-network,Action on Postpartum Psychosis,2730.0,app-network_co-occurrence,community,Action on Postpartum Psychosis (2730),Postpartum Psychosis,Postpartum Psychosis (2730),-30,-1.0,,,Postpartum psychosis
migrainecentre,National Migraine Centre,2704.0,migrainecentre_co-occurrence,community,National Migraine Centre (2704),National Migraine Centre,National Migraine Centre (2704),-30,-2.0,,,Migraine
lsn,LSN,2679.0,lsn_co-occurrence,community,LSN (2679),Lymphoedema ,Lymphoedema  (2679),-30,-3.0,,,Lymphoedema
cholesterol-support,Cholesterol Support,2651.0,cholesterol-support_co-occurrence,community,Cholesterol Support (2651),Cholesterol,Cholesterol (2651),-30,-4.0,,,Cholesterol
macularsociety,Macular Society,2646.0,macularsociety_co-occurrence,community,Macular Society (2646),Macular,Macular (2646),-30,-5.0,,,Macular
icusteps,ICUsteps,2515.0,icusteps_co-occurrence,community,ICUsteps (2515),Intensive Care Unit (ICU) Steps ,Intensive Care Unit (ICU) Steps  (2515),-30,-6.0,,,Intensive Care Unit
active10,Active,2446.0,active10_co-occurrence,community,Active (2446),Active,Active (2446),-30,-7.0,,,Active
care-community,Care Community,2372.0,care-community_co-occurrence,community,Care Community (2372),Care Community,Care Community (2372),-30,-8.0,,,Care community
lung-cancer-support,Lung Cancer Support,2224.0,lung-cancer-support_co-occurrence,community,Lung Cancer Support (2224),Lung Cancer,Lung Cancer (2224),-30,-9.0,,,Lung cancer
arthritis-action,Arthritis Action,2183.0,arthritis-action_co-occurrence,community,Arthritis Action (2183),Arthritis,Arthritis (2183),-30,-10.0,,,Arthritis
glaucoma-uk,Glaucoma UK,2179.0,glaucoma-uk_co-occurrence,community,Glaucoma UK (2179),Glaucoma UK,Glaucoma UK (2179),-30,-11.0,,,Glaucoma
meningitisnow,Meningitis Now,2133.0,meningitisnow_co-occurrence,community,Meningitis Now (2133),Meningitis Now,Meningitis Now (2133),-30,-12.0,,,Meningitis
itpsupport,ITP Support Association,2123.0,itpsupport_co-occurrence,community,ITP Support Association (2123),Immune Thrombocytopenia (ITP) Association,Immune Thrombocytopenia (ITP) Association (2123),-30,-13.0,,,Immune thrombocytopenia
my-skin,MY SKIN,1941.0,my-skin_co-occurrence,community,MY SKIN (1941),MY SKIN,MY SKIN (1941),-30,-14.0,,,Skin conditions
crohns-colitis-support,Crohn's and Colitis Support,1771.0,crohns-colitis-support_co-occurrence,community,Crohn's and Colitis Support (1771),Crohn's and Colitis,Crohn's and Colitis (1771),-30,-15.0,,,Crohn's & colitis
drwfdiabetes,Diabetes Research & Wellness Foundation,1606.0,drwfdiabetes_co-occurrence,community,Diabetes Research & Wellness Foundation (1606),Diabetes Research & Wellness,Diabetes Research & Wellness (1606),-30,-16.0,,,Diabetes
above-beyond,Above & Beyond - Mental Health,1540.0,above-beyond_co-occurrence,community,Above & Beyond - Mental Health (1540),Above & Beyond - Mental Health,Above & Beyond - Mental Health (1540),-30,-17.0,,,Mental health
blood-pressure-support,High Blood Pressure Support,1539.0,blood-pressure-support_co-occurrence,community,High Blood Pressure Support (1539),High Blood Pressure,High Blood Pressure (1539),-30,-18.0,,,High blood pressure
copd-friends,COPD Friends,1473.0,copd-friends_co-occurrence,community,COPD Friends (1473),Chronic Obstructive Pulmonary Disease (COPD) Friends,Chronic Obstructive Pulmonary Disease (COPD) Friends (1473),-30,-19.0,,,Pulmonary disease
fight-prostate-cancer,Fight Prostate Cancer,1388.0,fight-prostate-cancer_co-occurrence,community,Fight Prostate Cancer (1388),Fight Prostate Cancer,Fight Prostate Cancer (1388),-30,-20.0,,,Prostate cancer
fertility-ivf,"Fertility, Miscarriage & IVF Support",1381.0,fertility-ivf_co-occurrence,community,"Fertility, Miscarriage & IVF Support (1381)",Fertility & Miscarriage & IVF,Fertility & Miscarriage & IVF (1381),-30,-21.0,,,Fertility & miscarriage
anticoagulation-support,Anticoagulation Support,1377.0,anticoagulation-support_co-occurrence,community,Anticoagulation Support (1377),Anticoagulation,Anticoagulation (1377),-30,-22.0,,,Anticoagulation
diabeteshelp,Diabetes & Hypertension Help Society,1353.0,diabeteshelp_co-occurrence,community,Diabetes & Hypertension Help Society (1353),Diabetes & Hypertension,Diabetes & Hypertension (1353),-30,-23.0,,,Diabetes & hypertension
lupus-support,LUpus Patients Understanding and Support,1292.0,lupus-support_co-occurrence,community,LUpus Patients Understanding and Support (1292),LUpus Patients Understanding,LUpus Patients Understanding (1292),-30,-24.0,,,Lupus
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286.0,ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion (1286),Apoyo para Ansiedad y Depresion (Anxxiety & Depression),Apoyo para Ansiedad y Depresion (Anxxiety & Depression) (1286),-30,-25.0,,,Anxiety & depression
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234.0,fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK - Pregnancy Support (1234),Fertility Network UK  - Pregnancy,Fertility Network UK  - Pregnancy (1234),-30,-26.0,,,Fertility & pregnancy
hepatitisfoundation,HFI Connect - Hepatitis,1215.0,hepatitisfoundation_co-occurrence,community,HFI Connect - Hepatitis (1215),HFI Connect - Hepatitis,HFI Connect - Hepatitis (1215),-30,-27.0,,,Hepatitis
amneasier,AMN EASIER,1185.0,amneasier_co-occurrence,community,AMN EASIER (1185),Adrenomyeloneuropathy (AMN) EASIER,Adrenomyeloneuropathy (AMN) EASIER (1185),-30,-28.0,,,Adrenomyeloneuropathy
edsuk,The Ehlers-Danlos Support UK,946.0,edsuk_co-occurrence,community,The Ehlers-Danlos Support UK (946),The Ehlers-Danlos UK,The Ehlers-Danlos UK (946),-30,-29.0,,,Ehlers-Danlos
acoustic-neuroma-support,Acoustic Neuroma Support,940.0,acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma Support (940),Acoustic Neuroma,Acoustic Neuroma (940),-30,-30.0,,,Acoustic neuroma
osteoporosis-support,Osteoporosis Support,902.0,osteoporosis-support_co-occurrence,community,Osteoporosis Support (902),Osteoporosis,Osteoporosis (902),-30,-31.0,,,Osteoporosis
leukaemia-support,Leukaemia Support,808.0,leukaemia-support_co-occurrence,community,Leukaemia Support (808),Leukaemia,Leukaemia (808),-30,-32.0,,,Blood cancer
changingfaces,Changing Faces,760.0,changingfaces_co-occurrence,community,Changing Faces (760),Changing Faces,Changing Faces (760),-30,-33.0,,,Changing faces (scarring)
hivpartners,HIV Partners,759.0,hivpartners_co-occurrence,community,HIV Partners (759),HIV Partners,HIV Partners (759),-30,-34.0,,,HIV partners
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758.0,sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack (758),Sudden Cardiac Arrest & Heart Attack,Sudden Cardiac Arrest & Heart Attack (758),-30,-35.0,,,Heart attack
livingwithasthma,Living with Asthma,751.0,livingwithasthma_co-occurrence,community,Living with Asthma (751),Living with Asthma,Living with Asthma (751),-30,-36.0,,,Asthma
drink-free,Drink Free,685.0,drink-free_co-occurrence,community,Drink Free (685),Drink Free,Drink Free (685),-30,-37.0,,,Quit drinking
tourettes-action,Tourettes Action,680.0,tourettes-action_co-occurrence,community,Tourettes Action (680),Tourettes,Tourettes (680),-30,-38.0,,,Tourette syndr.
cmtuk,Charcot-Marie-Tooth UK,667.0,cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK (667),Charcot-Marie-Tooth UK,Charcot-Marie-Tooth UK (667),-30,-39.0,,,Hereditary neuropathy
opa-gord,Acid Reflux Support,659.0,opa-gord_co-occurrence,community,Acid Reflux Support (659),Acid Reflux,Acid Reflux (659),-30,-40.0,,,Acid Reflux
fasd-support,FASD Support,636.0,fasd-support_co-occurrence,community,FASD Support (636),Foetal Alcohol Spectrum Disorders (FASD),Foetal Alcohol Spectrum Disorders (FASD) (636),-30,-41.0,,,Foetal alcohol spectr. dis.
fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561.0,fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection Support (561),Aspergillosis and Rare Fungal Infection,Aspergillosis and Rare Fungal Infection (561),-30,-42.0,,,Rare fungal infection
oa-action,Osteoarthritis Action,561.0,oa-action_co-occurrence,community,Osteoarthritis Action (561),Osteoarthritis,Osteoarthritis (561),-30,-43.0,,,Osteoarthritis
menopause-perimenopause-support,Menopause and Perimenopause Support,554.0,menopause-perimenopause-support_co-occurrence,community,Menopause and Perimenopause Support (554),Menopause and Perimenopause,Menopause and Perimenopause (554),30,41.0,,,(Peri-) Menopause
myositisuk,Myositis UK,543.0,myositisuk_co-occurrence,community,Myositis UK (543),Myositis UK,Myositis UK (543),30,40.0,,,Myositis
sicklecellsociety,Sickle Cell Society,521.0,sicklecellsociety_co-occurrence,community,Sickle Cell Society (521),Sickle Cell,Sickle Cell (521),30,39.0,,,Sickle cell disord.
dialysis-support,Dialysis Support,516.0,dialysis-support_co-occurrence,community,Dialysis Support (516),Dialysis,Dialysis (516),30,38.0,,,Dialysis
erectile-dysfunction-support,Erectile Dysfunction Support,508.0,erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction Support (508),Erectile Dysfunction,Erectile Dysfunction (508),30,37.0,,,Erectile dysfunction
baby-and-us,Baby and Us,507.0,baby-and-us_co-occurrence,community,Baby and Us (507),Baby and Us,Baby and Us (507),30,36.0,,,Pregnancy & parenting
beyond-psoriasis,Beyond Psoriasis,507.0,beyond-psoriasis_co-occurrence,community,Beyond Psoriasis (507),Beyond Psoriasis,Beyond Psoriasis (507),30,35.0,,,Psoriasis
migraine-support,Migraine Support,503.0,migraine-support_co-occurrence,community,Migraine Support (503),Migraine,Migraine (503),30,34.0,,,Migraine
cll-america-support,CLL America Support,478.0,cll-america-support_co-occurrence,community,CLL America Support (478),Chronic Lymphocytic Leukemia (CLL) America,Chronic Lymphocytic Leukemia (CLL) America (478),30,33.0,,,Chronic lymphocytic leukemia
hep-c-trust,Hepatitis C Trust,468.0,hep-c-trust_co-occurrence,community,Hepatitis C Trust (468),Hepatitis C Trust,Hepatitis C Trust (468),30,32.0,,,Hepatitis C
differentstrokes,Different Strokes,467.0,differentstrokes_co-occurrence,community,Different Strokes (467),Different Strokes,Different Strokes (467),30,31.0,,,Stroke survivors
bronchiectasis-support,Bronchiectasis Support,452.0,bronchiectasis-support_co-occurrence,community,Bronchiectasis Support (452),Bronchiectasis,Bronchiectasis (452),30,30.0,,,Bronchiectasis
arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure Support (449),Heart Failure,Heart Failure (449),30,29.0,,,Heart failure
sensitiveissuesmen,Sensitive Issues for Men,441.0,sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men (441),Sensitive Issues for Men,Sensitive Issues for Men (441),30,28.0,,,Sensitive issues men
tb-alert,TB Alert,419.0,tb-alert_co-occurrence,community,TB Alert (419),Tuberculosis (TB) Alert,Tuberculosis (TB) Alert (419),30,27.0,,,Tuberculosis
transplant-support,Kidney Transplant Patient Support,395.0,transplant-support_co-occurrence,community,Kidney Transplant Patient Support (395),Kidney Transplant Patient,Kidney Transplant Patient (395),30,26.0,,,Kidney transplant
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer (388),Active Surveillance - Prostate Cancer,Active Surveillance - Prostate Cancer (388),30,25.0,,,Prostate cancer
alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's Support Group (385),Memory Health: Alzheimer's  Group,Memory Health: Alzheimer's  Group (385),30,24.0,,,Alzheimer's
one-norfolk-parents,Ask Norfolk Parents,384.0,one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents (384),Ask Norfolk Parents,Ask Norfolk Parents (384),30,23.0,,,Ask norfolk parents
melanomacaregivers,Melanoma Caregivers,381.0,melanomacaregivers_co-occurrence,community,Melanoma Caregivers (381),Melanoma Caregivers,Melanoma Caregivers (381),30,22.0,,,Melanoma caregivers
brain-aneurysm-support,Brain Aneurysm Support,370.0,brain-aneurysm-support_co-occurrence,community,Brain Aneurysm Support (370),Brain Aneurysm,Brain Aneurysm (370),30,21.0,,,Brain aneurysm
bowel-disease-support,Bowel Disease Support,369.0,bowel-disease-support_co-occurrence,community,Bowel Disease Support (369),Bowel Disease,Bowel Disease (369),30,20.0,,,Bowel disease
actiononpain,Action on Pain,366.0,actiononpain_co-occurrence,community,Action on Pain (366),Action on Pain,Action on Pain (366),30,19.0,,,Chronic pain
continencesupport,Continence Support,365.0,continencesupport_co-occurrence,community,Continence Support (365),Continence,Continence (365),30,18.0,,,Continence
pancreatitis-support,Chronic Pancreatitis Support,362.0,pancreatitis-support_co-occurrence,community,Chronic Pancreatitis Support (362),Chronic Pancreatitis,Chronic Pancreatitis (362),30,17.0,,,Chronic pancreatitis
fightbladdercancer,Fight Bladder Cancer,360.0,fightbladdercancer_co-occurrence,community,Fight Bladder Cancer (360),Fight Bladder Cancer,Fight Bladder Cancer (360),30,16.0,,,Bladder cancer
hep-c-support,Hepatitis C Support,359.0,hep-c-support_co-occurrence,community,Hepatitis C Support (359),Hepatitis C,Hepatitis C (359),30,15.0,,,Hepatitis C
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329.0,arrhythmia-alliance-svt_co-occurrence,community,Supraventricular Tachycardia Support (329),Supraventricular Tachycardia,Supraventricular Tachycardia (329),30,14.0,,,Supraventricular tachycardia
alopeciauk,Alopecia UK,312.0,alopeciauk_co-occurrence,community,Alopecia UK (312),Alopecia UK,Alopecia UK (312),30,13.0,,,Alopecia
diabetes-support,Diabetes Support,310.0,diabetes-support_co-occurrence,community,Diabetes Support (310),Diabetes,Diabetes (310),30,12.0,,,Diabetes
liver4life,Liver,308.0,liver4life_co-occurrence,community,Liver (308),Liver,Liver (308),30,11.0,,,Liver health
pcdsupport,PCD Family Support Group (UK),302.0,pcdsupport_co-occurrence,community,PCD Family Support Group (UK) (302),Primary Ciliary Dyskinesia (PCD) Family Support (Rare & Genetic),Primary Ciliary Dyskinesia (PCD) Family Support (Rare & Genetic) (302),30,10.0,,,Prim. ciliary dyskinesia
graves-disease-support,Graves Disease Support,296.0,graves-disease-support_co-occurrence,community,Graves Disease Support (296),Graves Disease,Graves Disease (296),30,9.0,,,Graves disease
pbcers,PBCers Organization,294.0,pbcers_co-occurrence,community,PBCers Organization (294),Primary Biliary Cholangitis (PBCers) Organization (Autoimmune),Primary Biliary Cholangitis (PBCers) Organization (Autoimmune) (294),30,8.0,,,Primary bil. cholangitis
dentistry-health-support,Dentistry Health Support,279.0,dentistry-health-support_co-occurrence,community,Dentistry Health Support (279),Dentistry Health,Dentistry Health (279),30,7.0,,,Dentistry health
fight-mpn,Fight MPN,269.0,fight-mpn_co-occurrence,community,Fight MPN (269),Fight Myeloproliferative Neoplasms (MPN) (Blood Cancer),Fight Myeloproliferative Neoplasms (MPN) (Blood Cancer) (269),30,6.0,,, Myeloproliferative neoplasms
colostomy-care,Living with a Stoma,266.0,colostomy-care_co-occurrence,community,Living with a Stoma (266),Living with a Stoma,Living with a Stoma (266),30,5.0,,,Living with a stoma
efa,EFA,264.0,efa_co-occurrence,community,EFA (264),European Federation of Allergy and Airways Diseases Patients’ Associations (EFA),European Federation of Allergy and Airways Diseases Patients’ Associations (EFA) (264),30,4.0,,,Allergy & airways diseases
pkdcharity-autosomaldominant,PKD Charity for Autosomal Dominant PKD,263.0,pkdcharity-autosomaldominant_co-occurrence,community,PKD Charity for Autosomal Dominant PKD (263),Autosomal Dominant Polycystic Kidney Disease (ADPKD),Autosomal Dominant Polycystic Kidney Disease (ADPKD) (263),30,3.0,,,Kidney disease
ukmasto,The UK Mastocytosis Support Group,255.0,ukmasto_co-occurrence,community,The UK Mastocytosis Support Group (255),The  Mastocytosis  Group,The  Mastocytosis  Group (255),30,2.0,,,Mastocytosis
meningioma-support,Meningioma Support,236.0,meningioma-support_co-occurrence,community,Meningioma Support (236),Meningioma,Meningioma (236),30,1.0,,,Meningioma
nkf-parents,Parents of Children with Kidney Disease,233.0,nkf-parents_co-occurrence,community,Parents of Children with Kidney Disease (233),Parents of Children with Kidney Disease,Parents of Children with Kidney Disease (233),30,0.0,,,Kidney disease parents
livingwellwithhiv,Living Well with HIV,233.0,livingwellwithhiv_co-occurrence,community,Living Well with HIV (233),Living Well with HIV,Living Well with HIV (233),30,-1.0,,,HIV
glioblastoma-support,Glioblastoma Support,216.0,glioblastoma-support_co-occurrence,community,Glioblastoma Support (216),Glioblastoma,Glioblastoma (216),30,-2.0,,,Glioblastoma
blog,HealthUnlocked Blog,205.0,blog_co-occurrence,community,HealthUnlocked Blog (205),HealthUnlocked Blog,HealthUnlocked Blog (205),30,-3.0,,,HealthUnlocked blog
sjogrens-support,Sjogren's Support,200.0,sjogrens-support_co-occurrence,community,Sjogren's Support (200),Sjogren's Syndrome (Autoimmune),Sjogren's Syndrome (Autoimmune) (200),30,-4.0,,,Sjogren's
bws-support,BWS Support,198.0,bws-support_co-occurrence,community,BWS Support (198),Beckwith-Wiedemann Syndrome (BWS) (Genetic),Beckwith-Wiedemann Syndrome (BWS) (Genetic) (198),30,-5.0,,, Beckwith-Wiedemann syndr.
deafplus,deafPLUS,197.0,deafplus_co-occurrence,community,deafPLUS (197),deafPLUS,deafPLUS (197),30,-6.0,,,Hearing & visually impaired
dystoniasociety,Dystonia Society,195.0,dystoniasociety_co-occurrence,community,Dystonia Society (195),Dystonia,Dystonia (195),30,-7.0,,,Dystonia
fertility-road,"Fertility Road Mind, Body & Wellbeing",191.0,fertility-road_co-occurrence,community,"Fertility Road Mind, Body & Wellbeing (191)",Fertility Road Mind  & Body & Wellbeing,Fertility Road Mind  & Body & Wellbeing (191),30,-8.0,,,Fertility
adenomyosisadviceassociation,Adenomyosis Advice Association,162.0,adenomyosisadviceassociation_co-occurrence,community,Adenomyosis Advice Association (162),Adenomyosis Advice Association,Adenomyosis Advice Association (162),30,-9.0,,,Adenomyosis
epilepsysociety,Epilepsy Society,150.0,epilepsysociety_co-occurrence,community,Epilepsy Society (150),Epilepsy,Epilepsy (150),30,-10.0,,,Epilepsy
heart-valve-voice,Heart Valve Voice,148.0,heart-valve-voice_co-occurrence,community,Heart Valve Voice (148),Heart Valve Voice,Heart Valve Voice (148),30,-11.0,,,Heart health
haemochromatosis-uk,Haemochromatosis Society UK,140.0,haemochromatosis-uk_co-occurrence,community,Haemochromatosis Society UK (140),Haemochromatosis UK,Haemochromatosis UK (140),30,-12.0,,,Haemochromatosis
hearinglink,Hearing Link,137.0,hearinglink_co-occurrence,community,Hearing Link (137),Hearing Link,Hearing Link (137),30,-13.0,,,Hearing loss
quit4life,Quit,133.0,quit4life_co-occurrence,community,Quit (133),Quit,Quit (133),30,-14.0,,,Quit smoking
the-endometriosis-foundation,The Endometriosis Foundation,131.0,the-endometriosis-foundation_co-occurrence,community,The Endometriosis Foundation (131),The Endometriosis Foundation,The Endometriosis Foundation (131),30,-15.0,,,Endometriosis
youngadultswithmelanoma,Young Adults with Melanoma,127.0,youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma (127),Young Adults with Melanoma,Young Adults with Melanoma (127),30,-16.0,,,Young adults melanoma
sclc-go2,Small Cell Lung Cancer Support,123.0,sclc-go2_co-occurrence,community,Small Cell Lung Cancer Support (123),Small Cell Lung Cancer,Small Cell Lung Cancer (123),30,-17.0,,,Small cell lung cancer
cavernoma-uk,Cavernoma Alliance UK,119.0,cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK (119),Cavernoma Alliance UK,Cavernoma Alliance UK (119),30,-18.0,,,Cavernoma
